"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"REICHELT";"SPICEPREFIX";
"1";"";"FE05-1";"FE05-1";"SV1";"FEMALE HEADER";"";"";"unknown";"unknown";"7";"";"";
"1";"";"FE08-1";"FE08";"SV3";"FEMALE HEADER";"";"";"unknown";"unknown";"10";"";"";
"1";"";"FE08-2";"FE08-2";"SV2";"FEMALE HEADER";"";"";"unknown";"unknown";"1";"";"";
"3";".1u";"C-EUC1206";"C1206";"C11, C13, C16";"CAPACITOR, European symbol";"";"";"";"";"54";"";"C";
"1";"10k";"R-EU_R1206";"R1206";"R6";"RESISTOR, European symbol";"";"";"";"";"41";"";"R";
"1";"10u";"C-EUC1210";"C1210";"C12";"CAPACITOR, European symbol";"";"";"";"";"0";"";"C";
"4";"10uH";"DR125";"DR125";"L1, L2, L3, L4";"High Power Density, High Efficiency, Shielded Inductors";"";"";"";"";"1";"";"L";
"2";"1u";"C-EUC1206";"C1206";"C9, C10";"CAPACITOR, European symbol";"";"";"";"";"54";"";"C";
"4";"2.2n";"C-EUC1206";"C1206";"C5, C6, C7, C8";"CAPACITOR, European symbol";"";"";"";"";"54";"";"C";
"4";"220n";"C-EUC1206";"C1206";"C1, C2, C3, C4";"CAPACITOR, European symbol";"";"";"";"";"54";"";"C";
"6";"220u";"CPOL-EU150CLZ-1010";"150CLZ-1010";"C14, C15, C17, C18, C19, C21";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"HC-V 220U 35";"C";
"1";"4.7k";"R-EU_R1206";"R1206";"R5";"RESISTOR, European symbol";"";"";"";"";"41";"";"R";
"1";"LD117AS33TR";"LD117AS33TR";"SOT223";"IC1";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";"9";"";"";
"3";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"OUT-L, OUT-R, X3";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";"14";"";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"7";"";"";
"1";"R-78E-0.5";"788TV";"TO220V";"IC2";"Positive VOLTAGE REGULATOR";"";"";"";"";"0";"";"";
"1";"SPARKFUN-CONNECTORS_RASPBERRYPI-40-PIN-GPIO_PTH_NO_SHROUD";"SPARKFUN-CONNECTORS_RASPBERRYPI-40-PIN-GPIO_PTH_NO_SHROUD";"SPARKFUN-CONNECTORS_2X20";"J2";"Raspberry Pi GPIO Header";"";"";"";"";"";"";"";
"1";"TAS5805M";"TAS5805M";"TSSOP28";"U$1";"";"";"";"";"";"";"";"";
