Qty,Value,Device,Package,Parts,Description,ordered?,instock?,MOUSER,MOUSER2,MPN,OC_FARNELL,OC_NEWARK,POPULARITY,SPICEPREFIX
,,,,,,,,,,,,,,
1,SRC4192,SRC4192,SSOP28BU,U$1,Oder 4190,1,,595-SRC4192IDB,,,,,,
1,TORX135X,TORX135X,TORX135X,U$7,,1,ja,757-TORX1355VF,,,,,,
2,SN74CBT3253,SN74CBT3253,TSSOP16-PW,U$5,,2,,595-SN74CBT3253CPW,,,,,,
1,REG1117,REG1117,SOT223,IC3,800mA and 1A Low Dropout (LDO) Positive Regulator,1,,863-LM1117MPX-50NOPB,,REG1117,1097566,14P6981,49,
1,REG1117,REG1117,SOT223,IC4,800mA and 1A Low Dropout (LDO) Positive Regulator,1,,863-LM1117MPX-33NOPB,,REG1117,1097566,14P6981,49,
1,R-78E6.5-0.5,788TV,TO220V,IC2,Positive VOLTAGE REGULATOR,1,,919-R-786.5-0.5,,,,,0,
1,PCM1802,PCM1802,SSOP20DB,U$3,,1,ja,595-PCM1802,,,,,,
1,MCP23009,MCP23009,SSOP20BU,U$4,,1,,579-MCP23009T-E/SS ,,,,,,
1,MBR0520LT,MBR0520LT,SOD123,D3,SCHOTTKY BARRIER RECTIFIER,1,,863-MBR130T3G,,,,,2,
1,GN200S03,GN200S03,GN-S,K2,ULTRA-SMALL PACKAGE SLIM POLARIZED RELAY NAiS,1,,769-AGN200S03Z,,AGN200S03,unknown,15P8575,0,
1,Fuse,L-EUL4532C,L4532M,FUSE,"INDUCTOR, European symbol",1,,650-MINIASMDC050F-2,,,,,0,L
1,DIR9001,DIR9001,TSSOP28,U$2,,1,ja,595-DIR9001PW ,,,,,,
1,7404TS,7404TS,TSSOP14,IC1,Hex INVERTER,1,,595-SN74HC04APWR,,,,,,
3,736880-49,736880-49,736880-49,SPDIF,Cinch Connector ( RCA Jack ),3,,502-PJRAN1X1U01AUX ,502-PJRAN1X1U02AUX ,,,,2,
1,26Vbi,SCHOTTKY-DIODESMC,SMC,TVS,Schottky Diode,1,,710-824551241,,,,,1,
1,"24,576",KXO-TCXO-CMOS-82,7.0X5.0_KXO-82-TCXO,Q4,TCXO :,1,,998-1001AI2024.5760T,,,,,,
3,220uH,L-EUL4532C,L4532M,"L1, L2, L3","INDUCTOR, European symbol",3,,710-7447669220,,,,,0,L
5,10u/25V,CPOL-EUCT6032,CT6032,"C3, C4, C18, C19, C23","POLARIZED CAPACITOR, European symbol",5,,80-T491C106K25AT7280,,,,,2,C
5,10u/10V,C-EUC1210K,C1210K,"C8, C9, C10, C12, C14","CAPACITOR, European symbol",5,,81-GCM32DL81A106KA7L,,,,,0,C
2,,SCHOTTKY-DIODESMD,SMB,"D1, D2",Schottky Diode,2,,621-B140BQ-13-F ,,,,,2,
5,,LEDSMT1206,1206,"FS1, FS2, POWER, RX_ERROR, SRCLOCK",LED orange,5,,645-598-8220-102F ,,,,,20,
,,,,,,,,,,,,,,
2,4.7u,C-EU025_050-055X075,C025_050-055X075,"C1, C2", wima foil,,ja,,,,,,1,C
,,,,,,,,,,,,,,
12,100n,C-EUC0603,C0603,"C5, C6, C7, C11, C13, C15, C20, C21, C24, C25, C26, C27","CAPACITOR, European symbol",,,,,,,,73,C
1,4.7n,C-EUC0603,C0603,C16,"CAPACITOR, European symbol",,,,,,,,73,C
1,68n,C-EUC0603,C0603,C17,"CAPACITOR, European symbol",,,,,,,,73,C
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,2.2k,R-EU_R0603,R0603,"R4, R6, R7, R12, R13, R14, R15, R16, R18, R19, R20","RESISTOR, European symbol",,,,,,,,70,R
2,4.7k,R-EU_R0603,R0603,"R1, R2","RESISTOR, European symbol",,,,,,,,70,R
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,47,R-EU_R0603,R0603,"R9, R10, R11","RESISTOR, European symbol",,,,,,,,70,R
1,47k,R-EU_R0603,R0603,R17,"RESISTOR, European symbol",,,,,,,,70,R
1,680,R-EU_R0603,R0603,R5,"RESISTOR, European symbol",,,,,,,,70,R
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,75,R-EU_R0603,R0603,R3,"RESISTOR, European symbol",,,,,,,,70,R
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,TORX173,TORX173,TORX173,OX1,FIBER OPTIC RECEIVING MODULE,,,,,,unknown,unknown,,
